Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate
0,RightMiddleTom,0,0.0000000
0,LeftHighTom,0,0.0000000
0.5425262,RightMiddleTom,0,0.1750047
1.742546,RightMiddleTom,0,0.0625032
1.355038,LeftHighTom,1,0.4875089
2.305054,RightMiddleTom,0.9062462,0.1250041
2.955059,LeftHighTom,1,0.1625046
3.805073,RightMiddleTom,1,0.1000037
4.967583,RightMiddleTom,0,0.0375029
4.567581,LeftHighTom,1,0.0375029
5.536343,RightMiddleTom,0.9140568,0.0125026
6.161346,LeftHighTom,1,0.0499982
6.967609,RightMiddleTom,1,0.0499982
8.323875,RightMiddleTom,1,0.1124989
7.730122,LeftHighTom,1,0.1374992
8.730133,RightMiddleTom,1,0.5000091
9.317638,LeftHighTom,0.9374905,0.5000091
10.10515,RightMiddleTom,0.8437538,0.5000091
11.51767,RightMiddleTom,1,0.2125052
10.90516,LeftHighTom,0.8437443,0.1499994
11.94892,RightMiddleTom,1,0.1749997
12.62393,LeftHighTom,0.9609346,0.5000091
13.36144,RightMiddleTom,0.8593655,0.5000091
14.77396,RightMiddleTom,1,0.1874999
14.14895,LeftHighTom,0.859375,0.1249991
15.20521,RightMiddleTom,1,0.0874986
15.80522,LeftHighTom,0.9687424,0.0999988
16.65523,RightMiddleTom,0.9687519,0.0999988
18.06775,RightMiddleTom,1,0.0999988
17.44274,LeftHighTom,0.9999943,0.0749985
18.48026,RightMiddleTom,1,0.0749985
19.07401,LeftHighTom,1,0.0874986
19.89277,RightMiddleTom,0.9999943,0.0874986
21.31779,RightMiddleTom,1,0.0749985
20.69278,LeftHighTom,1,0.0124977
21.71779,RightMiddleTom,0.9999943,0.0249979
22.3553,LeftHighTom,1,0.0374980
23.23031,RightMiddleTom,1,0.0374980
24.46783,RightMiddleTom,0,0.0374980
23.96782,LeftHighTom,1,0.0499982
24.89283,RightMiddleTom,0.984376,0.1124989
25.56784,LeftHighTom,1,0.1374992
26.3741,RightMiddleTom,0.9218693,0.1374992
27.76787,RightMiddleTom,1,0.1499994
27.14911,LeftHighTom,0.9531212,0.1249991
28.17412,RightMiddleTom,1,0.1374992
28.78038,LeftHighTom,0.9687424,0.1749997
29.59289,RightMiddleTom,0.9374905,0.1749997
30.99916,RightMiddleTom,1,0.1749997
30.3804,LeftHighTom,0.9062386,0.1874999
31.38041,RightMiddleTom,1,0.1499994
31.99292,LeftHighTom,0.8749962,0.1124989
32.83043,RightMiddleTom,0.9062481,0.1124989
34.19295,RightMiddleTom,0,0.0749985
33.66794,LeftHighTom,0.9374905,0.0624983
34.60545,RightMiddleTom,0.9843731,0.0499982
35.30547,LeftHighTom,1,0.0749985
36.11797,RightMiddleTom,1,0.0749985
37.44299,RightMiddleTom,0,0.0124977
36.90548,LeftHighTom,1,0.0000024
37.868,RightMiddleTom,1,0.0125026
38.57425,LeftHighTom,1,0.0000024
39.40551,RightMiddleTom,1,0.0000024
40.64303,RightMiddleTom,0,0.0374980
40.19302,LeftHighTom,1,0.0000024
41.13054,RightMiddleTom,0.9687452,0.0000024
41.8243,LeftHighTom,1,0.0499982
42.62431,RightMiddleTom,1,0.0499982
44.02432,RightMiddleTom,1,0.0749985
43.40556,LeftHighTom,1,0.0874986
44.41808,RightMiddleTom,1,0.0999988
45.01809,LeftHighTom,0.9999943,0.1374992
45.81809,RightMiddleTom,1,0.1374992
47.23061,RightMiddleTom,0.9999943,0.1124989
46.62436,LeftHighTom,0.9218693,0.0999988
47.64936,RightMiddleTom,1,0.0749985
48.25562,LeftHighTom,1,0.0999988
49.06813,RightMiddleTom,1,0.0999988
50.5119,RightMiddleTom,1,0.0874986
49.86814,LeftHighTom,0.9999943,0.0499982
50.91816,RightMiddleTom,1,0.0374980
51.53066,LeftHighTom,1,0.0999988
52.34317,RightMiddleTom,1,0.0999988
53.71194,RightMiddleTom,1,0.1624995
53.11818,LeftHighTom,0.9999943,0.1124989
54.14945,RightMiddleTom,1,0.0374980
54.73071,LeftHighTom,0.9687424,0.0874986
55.58696,RightMiddleTom,1,0.0874986
56.99323,RightMiddleTom,1,0.0874986
56.37448,LeftHighTom,0.9843731,0.0749985
57.39323,RightMiddleTom,1,0.0999988
57.9995,LeftHighTom,1,0.0999988
58.80576,RightMiddleTom,0.9687424,0.0999988
60.13078,RightMiddleTom,0,0.0999988
59.71827,LeftHighTom,0,0.0999988
60.51828,RightMiddleTom,0,0.0999988
61.31828,LeftHighTom,0,0.0999988
62.1683,RightMiddleTom,0,0.0999988
63.36832,RightMiddleTom,0,0.0999988
62.94331,LeftHighTom,0,0.0999988
63.79332,RightMiddleTom,0,0.0999988
64.56833,LeftHighTom,0,0.0999988
65.41833,RightMiddleTom,0,0.3750074
66.61835,RightMiddleTom,0,0.5000091
66.45585,LeftHighTom,0.7499886,0.5000091
67.01836,RightMiddleTom,0,0.5000091
67.80586,LeftHighTom,0,0.5000091
68.66838,RightMiddleTom,0,0.5000091
69.86839,RightMiddleTom,0,0.5000091
69.44339,LeftHighTom,0,0.5000091
70.2684,RightMiddleTom,0,0.5000091
71.06841,LeftHighTom,0,0.5000091
71.89342,RightMiddleTom,0,0.5000091
