Timestamp,WhichInstrumentWasHit,SyncRateBetweenPlayerAndDrummingAgent,RhythmErrorRate,EyeFocusItem, EyeFocusCoord
0,LeftHighTom,0,0.0000000,,(-0.1116975/1.621365/4.063773)
0,RightMiddleTom,0,0.0000000,Drumming Partner,(0.02298041/1.039734/3.163559)
0.7366676,LeftHighTom,0,0.0000000,Left Prompt,(-1.53518/1.132658/4.05477)
1.747776,RightMiddleTom,0,0.0000000,Right Prompt,(0.4190164/1.079905/4.05477)
2.792221,LeftHighTom,0,0.0000000,Left Prompt,(-0.5265489/0.9986211/4.05477)
3.814445,RightMiddleTom,0,0.3777780,Right Drum,(0.1933925/0.9248314/1.014169)
4.925556,LeftHighTom,1,0.3888891,Left Prompt,(-0.4947827/1.002182/4.05477)
5.953333,RightMiddleTom,1,0.3888891,,(0.3668442/0.6744389/2.662642)
6.970001,LeftHighTom,1,0.3111112,Left Drum,(-0.1332294/0.88398/0.8417122)
7.958889,RightMiddleTom,1,0.4111114,Right Drum,(0.1883942/0.8691372/0.8632484)
9.042225,LeftHighTom,1,0.4111114,Left Drum,(-0.2254044/0.9064487/0.8586807)
10.05333,RightMiddleTom,0.9861183,0.4000003,Drumming Partner,(-0.02056498/1.216285/3.163559)
11.07556,LeftHighTom,1,0.3222223,Drumming Partner,(-0.04097335/1.219483/3.163559)
12.06444,RightMiddleTom,1,0.2777778,Right Prompt,(1.453804/1.154517/4.05477)
13.07556,LeftHighTom,1,0.4444448,Left Prompt,(-0.9794534/1.089112/4.05477)
14.17556,RightMiddleTom,0.9583282,0.3555557,Right Prompt,(0.5374203/0.8311138/4.05477)
15.15334,LeftHighTom,1,0.2444444,,(3.714583/1.489671/3.862417)
16.13111,RightMiddleTom,1,0.3444446,,(-3.38558/1.837936/4.063773)
17.20333,LeftHighTom,1,0.3444446,,(-1.677043/0.01109278/3.837188)
18.18111,RightMiddleTom,0,0.3444446,,(-3.766684/0.07504297/2.297729)
19.19223,LeftHighTom,0,0.3444446,,(-3.766684/2.13571/3.039614)
20.20333,RightMiddleTom,0,0.3444446,,(3.579393/1.192708/4.063773)
21.24778,LeftHighTom,0,0.3444446,,(0.4832418/2.315264/4.063773)
22.28111,RightMiddleTom,0,0.3444446,Drumming Partner,(-0.003355809/1.199335/3.163559)
23.30333,LeftHighTom,0,0.3444446,,(0.291564/0.7747588/2.649604)
24.32556,RightMiddleTom,0,0.3444446,,(0.291564/0.7747588/2.649604)
