x,y,z,focusItem,time
-1.459436,1.636986,-1.325906,Poster,00:12
-1.203615,1.609732,-1.325906,Poster,00:12
-0.9682945,1.577448,-1.325906,Poster,00:12
-0.8966624,1.562608,-1.325906,Poster,00:12
-0.9140743,1.571323,-1.325906,Poster,00:12
-0.9893736,1.599661,-1.325906,Poster,00:12
-0.9658586,1.598657,-1.325906,Poster,00:12
-0.9582528,1.597586,-1.325906,Poster,00:12
-0.9751469,1.602165,-1.325906,Poster,00:12
-1.025744,1.599652,-1.325906,Poster,00:12
-0.950784,1.610158,-1.325906,Poster,00:12
-1.005496,1.597897,-1.325906,Poster,00:12
-1.017871,1.57893,-1.325906,Poster,00:12
-1.035097,1.601683,-1.325906,Poster,00:12
-1.060314,1.606997,-1.325906,Poster,00:12
-1.167858,1.619637,-1.325906,Poster,00:12
-1.164646,1.603405,-1.325906,Poster,00:12
-1.17893,1.634525,-1.325906,Poster,00:12
-1.172269,1.633881,-1.325906,Poster,00:12
-0.9878602,1.61262,-1.325906,Poster,00:12
-0.7056286,1.55291,-1.325906,Poster,00:12
-0.5229882,1.533244,-1.325906,Poster,00:12
-0.4134893,1.513239,-1.325906,Poster,00:12
-0.3980778,1.490381,-1.325906,Poster,00:12
-0.4231549,1.487708,-1.325906,Poster,00:12
-0.4077875,1.473964,-1.325906,Poster,00:12
-0.4156232,1.476616,-1.325906,Poster,00:12
-0.4582941,1.488295,-1.325906,Poster,00:12
-0.4548634,1.46677,-1.325906,Poster,00:12
-0.4640134,1.472861,-1.325906,Poster,00:12
-0.4611451,1.462189,-1.325906,Poster,00:12
-0.4423259,1.46016,-1.325906,Poster,00:12
-0.457274,1.462693,-1.325906,Poster,00:12
-0.4475631,1.459899,-1.325906,Poster,00:12
-0.4524002,1.466916,-1.325906,Poster,00:12
-0.4342813,1.471159,-1.325906,Poster,00:12
-0.4396033,1.468843,-1.325906,Poster,00:12
-0.4463464,1.463987,-1.325906,Poster,00:12
-0.4362223,1.45448,-1.325906,Poster,00:12
-0.4231256,1.460894,-1.325906,Poster,00:12
-0.4275911,1.471175,-1.325906,Poster,00:12
-0.4054314,1.455456,-1.325906,Poster,00:12
-0.4102533,1.447064,-1.325906,Poster,00:12
-0.4088672,1.448813,-1.325906,Poster,00:12
-0.3271191,1.542862,-1.325906,Poster,00:12
-0.2854255,1.591341,-1.325906,Poster,00:12
-0.2544374,1.655016,-1.325906,Poster,00:12
-0.2116827,1.691525,-1.325906,Poster,00:12
-0.2425382,1.71304,-1.325906,Poster,00:12
-0.2495647,1.718151,-1.325906,Poster,00:12
-0.2432915,1.726131,-1.325906,Poster,00:12
-0.2495662,1.71575,-1.325906,Poster,00:12
-0.2717146,1.711794,-1.325906,Poster,00:12
-0.2121198,1.710746,-1.325906,Poster,00:12
-0.2107293,1.70953,-1.325906,Poster,00:12
-0.205169,1.710335,-1.325906,Poster,00:12
-0.2025924,1.705917,-1.325906,Poster,00:12
-0.1969122,1.706015,-1.325906,Poster,00:12
-0.2025022,1.719264,-1.325906,Poster,00:12
-0.2135062,1.713966,-1.325906,Poster,00:12
-0.23514,1.716405,-1.325906,Poster,00:12
-0.2379948,1.720492,-1.325906,Poster,00:12
-0.2435649,1.720061,-1.325906,Poster,00:13
-0.2591113,1.727405,-1.325906,Poster,00:13
-0.2607765,1.726628,-1.325906,Poster,00:13
-0.2563657,1.722255,-1.325906,Poster,00:13
-0.2546109,1.717372,-1.325906,Poster,00:13
-0.2606594,1.719055,-1.325906,Poster,00:13
-0.2509139,1.726083,-1.325906,Poster,00:13
-0.2750037,1.724804,-1.325906,Poster,00:13
-0.2817196,1.731874,-1.325906,Poster,00:13
-0.2783819,1.727565,-1.325906,Poster,00:13
-0.2864723,1.736484,-1.325906,Poster,00:13
-0.2821096,1.727158,-1.325906,Poster,00:13
-0.2738154,1.726021,-1.325906,Poster,00:13
-0.2561765,1.724737,-1.325906,Poster,00:13
-0.2725898,1.74164,-1.325906,Poster,00:13
-0.2887039,1.738018,-1.325906,Poster,00:13
-0.2895719,1.738012,-1.325906,Poster,00:13
-0.2918591,1.736883,-1.325906,Poster,00:13
-0.2944956,1.732451,-1.325906,Poster,00:13
-0.2941049,1.730441,-1.325906,Poster,00:13
-0.2897296,1.729713,-1.325906,Poster,00:13
-0.2631782,1.683803,-1.325906,Poster,00:13
-0.2509198,1.616042,-1.325906,Poster,00:13
-0.2646941,1.594368,-1.325906,Poster,00:13
-0.2627541,1.607059,-1.325906,Poster,00:13
-0.2703988,1.604834,-1.325906,Poster,00:13
-0.2673708,1.606237,-1.325906,Poster,00:13
-0.2717231,1.615891,-1.325906,Poster,00:13
-0.2797326,1.621354,-1.325906,Poster,00:13
-0.2487208,1.619171,-1.325906,Poster,00:13
-0.2590666,1.62402,-1.325906,Poster,00:13
-0.2607968,1.619012,-1.325906,Poster,00:13
-0.2612243,1.616524,-1.325906,Poster,00:13
-0.260087,1.607811,-1.325906,Poster,00:13
-0.26211,1.619176,-1.325906,Poster,00:13
-0.2648314,1.627293,-1.325906,Poster,00:13
-0.2636331,1.61869,-1.325906,Poster,00:13
-0.2596436,1.625264,-1.325906,Poster,00:13
-0.2543376,1.617488,-1.325906,Poster,00:13
-0.2558775,1.61599,-1.325906,Poster,00:13
-0.2665284,1.613554,-1.325906,Poster,00:13
-0.2601146,1.612641,-1.325906,Poster,00:13
-0.2513106,1.6144,-1.325906,Poster,00:13
-0.2513127,1.61693,-1.325906,Poster,00:13
-0.2384127,1.612777,-1.325906,Poster,00:13
-0.220898,1.603635,-1.325906,Poster,00:13
-0.229966,1.599937,-1.325906,Poster,00:13
-0.1778366,1.557236,-1.325906,Poster,00:13
-0.0786481,1.552492,-1.325906,Poster,00:13
-0.02124585,1.544816,-1.325906,Poster,00:13
-0.01890203,1.539704,-1.325906,Poster,00:13
-0.03134616,1.531578,-1.325906,Poster,00:13
0.03646883,1.514453,-1.325906,Poster,00:13
0.03105181,1.521934,-1.325906,Poster,00:13
-0.00357838,1.520829,-1.325906,Poster,00:13
0.01338208,1.513385,-1.325906,Poster,00:13
0.01366854,1.511963,-1.325906,Poster,00:13
0.004288658,1.520263,-1.325906,Poster,00:13
0.007784277,1.520697,-1.325906,Poster,00:13
-0.005703673,1.513323,-1.325906,Poster,00:13
-0.007844225,1.516345,-1.325906,Poster,00:13
0.02078454,1.505471,-1.325906,Poster,00:13
0.03507367,1.504881,-1.325906,Poster,00:13
0.05732109,1.498549,-1.325906,Poster,00:13
0.08436142,1.497214,-1.325906,Poster,00:13
0.09541896,1.492668,-1.325906,Poster,00:13
0.1060226,1.491318,-1.325906,Poster,00:13
0.1034473,1.492026,-1.325906,Poster,00:13
0.1109364,1.50052,-1.325906,Poster,00:13
0.1017814,1.48947,-1.325906,Poster,00:13
0.0875119,1.493675,-1.325906,Poster,00:13
0.1409422,1.488672,-1.325906,Poster,00:13
0.2235542,1.470958,-1.325906,Poster,00:13
0.3697074,1.460928,-1.325906,Poster,00:13
0.4226981,1.468938,-1.325906,Poster,00:13
0.4221252,1.463689,-1.325906,Poster,00:13
0.4226226,1.462787,-1.325906,Poster,00:13
0.4427781,1.4641,-1.325906,Poster,00:13
0.4327513,1.451532,-1.325906,Poster,00:13
0.437634,1.459739,-1.325906,Poster,00:13
0.4152046,1.449525,-1.325906,Poster,00:13
0.4091044,1.449548,-1.325906,Poster,00:13
0.4097358,1.445709,-1.325906,Poster,00:13
0.4073069,1.454945,-1.325906,Poster,00:13
0.4201159,1.460606,-1.325906,Poster,00:13
0.4174785,1.458966,-1.325906,Poster,00:13
0.4264617,1.474873,-1.325906,Poster,00:13
0.4185531,1.474993,-1.325906,Poster,00:13
0.4297446,1.47176,-1.325906,Poster,00:13
0.4239959,1.468227,-1.325906,Poster,00:13
0.3944281,1.468661,-1.325906,Poster,00:14
0.3988358,1.465184,-1.325906,Poster,00:14
0.3911417,1.469587,-1.325906,Poster,00:14
0.3062743,1.558934,-1.325906,Poster,00:14
0.2536092,1.622098,-1.325906,Poster,00:14
0.1942449,1.662643,-1.325906,Poster,00:14
0.1483054,1.74068,-1.325906,Poster,00:14
0.1415216,1.748597,-1.325906,Poster,00:14
0.1575491,1.73825,-1.325906,Poster,00:14
0.1463901,1.743797,-1.325906,Poster,00:14
0.139361,1.741674,-1.325906,Poster,00:14
0.113436,1.740143,-1.325906,Poster,00:14
0.1056388,1.741417,-1.325906,Poster,00:14
0.1144636,1.742827,-1.325906,Poster,00:14
0.1172251,1.753319,-1.325906,Poster,00:14
0.1111733,1.753679,-1.325906,Poster,00:14
0.1295902,1.801964,-1.325906,Poster,00:14
0.1425315,1.907437,-1.325906,Poster,00:14
0.197715,2.116107,-1.325906,Poster,00:14
0.1946128,2.190281,-1.325906,Poster,00:14
0.2478187,2.186698,-1.325906,Poster,00:14
0.2443177,2.174758,-1.325906,Poster,00:14
0.2458445,2.175081,-1.325906,Poster,00:14
0.2509864,2.176847,-1.325906,Poster,00:14
0.2491025,2.185765,-1.325906,Poster,00:14
0.2611812,2.188745,-1.325906,Poster,00:14
0.2572553,2.178604,-1.325906,Poster,00:14
0.2578013,2.177372,-1.325906,Poster,00:14
0.2581145,2.16789,-1.325906,Poster,00:14
0.2597578,2.172675,-1.325906,Poster,00:14
0.2545289,2.170701,-1.325906,Poster,00:14
0.2471406,2.169002,-1.325906,Poster,00:14
0.2347255,2.170559,-1.325906,Poster,00:14
0.2261918,2.16931,-1.325906,Poster,00:14
0.2151586,2.167011,-1.325906,Poster,00:14
0.2096219,2.160059,-1.325906,Poster,00:14
