x,y,z,focusItem,time
-0.2131396,0.43249,2.605238,Drumming Partner,00:01
-0.1440968,0.3635787,2.605238,Drumming Partner,00:01
-0.1657875,0.4071181,2.605238,Drumming Partner,00:01
-0.1410592,1.061611,3.077003,Drumming Partner,00:01
-0.1500416,0.9666329,2.632229,Drumming Partner,00:01
-0.1835128,0.9666329,3.022402,Drumming Partner,00:01
-0.1851719,0.9666329,2.896684,Drumming Partner,00:01
-0.2005971,0.981486,3.077003,Drumming Partner,00:01
-0.1784479,0.9856097,3.077003,Drumming Partner,00:01
-0.175877,0.9934965,3.077003,Drumming Partner,00:02
-0.1940281,0.9932898,3.077003,Drumming Partner,00:02
-0.1961714,1.003913,3.077003,Drumming Partner,00:02
-0.1820032,1.036157,3.077003,Drumming Partner,00:02
-0.2071236,0.9666329,3.073673,Drumming Partner,00:02
-0.2010252,0.9932387,3.077003,Drumming Partner,00:02
-0.2112443,0.9706687,3.077003,Drumming Partner,00:02
-0.1904619,0.974444,3.077003,Drumming Partner,00:02
-0.0974271,0.9163666,2.605238,Drumming Partner,00:02
0.05615547,0.9666329,2.985866,Drumming Partner,00:05
0.03918031,0.961862,2.605238,Drumming Partner,00:05
0.02960956,0.9666329,2.62588,Drumming Partner,00:05
0.03390668,0.9348095,2.605238,Drumming Partner,00:05
0.02658012,0.9076757,2.605238,Drumming Partner,00:05
0.02458125,0.9579255,2.605238,Drumming Partner,00:05
-0.007222857,0.9666329,2.797623,Drumming Partner,00:05
-0.008455783,0.9666329,2.690918,Drumming Partner,00:05
-0.01805418,0.9666329,2.676097,Drumming Partner,00:05
-0.02597748,0.9666329,2.817642,Drumming Partner,00:05
-0.03406605,0.9666329,2.723649,Drumming Partner,00:05
-0.0270246,0.9666329,2.78284,Drumming Partner,00:05
-0.01798759,0.9666329,2.646319,Drumming Partner,00:05
0.0005873963,0.9666329,2.727905,Drumming Partner,00:05
-0.003833096,0.9594391,2.605238,Drumming Partner,00:05
0.02830881,0.9604436,2.605238,Drumming Partner,00:05
0.06060042,0.9600548,2.605238,Drumming Partner,00:05
0.08203807,0.9666329,2.76972,Drumming Partner,00:05
0.08920959,0.9666329,2.768862,Drumming Partner,00:05
0.09925428,0.9666329,2.761567,Drumming Partner,00:05
0.07032675,1.095569,3.077003,Drumming Partner,00:05
0.06366533,0.9666329,2.69464,Drumming Partner,00:05
0.03738976,0.9335789,2.605238,Drumming Partner,00:05
0.09963526,0.9928279,3.077003,Drumming Partner,00:05
0.05949385,0.9666329,2.758476,Drumming Partner,00:05
0.03430089,0.9554471,2.605238,Drumming Partner,00:05
