x,y,z,focusItem,time
-0.2433814,0.3244047,2.605238,Drumming Partner,00:01
0.05746055,0.2809076,2.605238,Drumming Partner,00:01
-0.1662317,0.92616,2.605238,Drumming Partner,00:01
0.03476687,0.1136736,2.605238,Drumming Partner,00:01
-0.1837198,0.8674227,2.605238,Drumming Partner,00:01
-0.2050252,0.846505,2.605238,Drumming Partner,00:01
-0.2200347,0.8711314,2.605238,Drumming Partner,00:01
-0.2519029,0.8652574,2.605238,Drumming Partner,00:01
0.4503378,0.8943075,5,Environment,00:01
1.914104,1.611774,5,Environment,00:01
0.4443362,0.9705064,5,Environment,00:01
-0.542437,0.9443828,5,Environment,00:01
-0.2262852,1.060622,3.077003,Drumming Partner,00:01
0.3947532,2.062963,5,Environment,00:01
0.23404,2.351261,5,Environment,00:01
-0.3210922,0.9666329,3.534802,Drumming Partner,00:01
-0.2792045,0.9666329,3.112375,Drumming Partner,00:01
-0.2463255,0.9666329,2.771081,Drumming Partner,00:01
-0.264416,0.885821,2.605238,Drumming Partner,00:01
0.06429765,1.092058,3.077003,Drumming Partner,00:04
-0.0215794,0.4457282,2.605238,Drumming Partner,00:04
-0.024084,0.41125,2.605238,Drumming Partner,00:04
0.1542215,0.9786687,3.077003,Drumming Partner,00:04
0.1572261,1.008701,3.077003,Drumming Partner,00:04
0.09386976,1.160708,3.077003,Drumming Partner,00:04
0.08041883,1.26531,3.077003,Drumming Partner,00:04
0.09549646,1.256248,3.077003,Drumming Partner,00:04
0.08404239,1.271268,3.077003,Drumming Partner,00:04
0.08160649,1.282346,3.077003,Drumming Partner,00:04
0.07192572,1.284941,3.077003,Drumming Partner,00:04
0.05254583,1.310351,3.077003,Drumming Partner,00:04
0.03939214,1.323732,3.077003,Drumming Partner,00:04
0.04286616,1.332188,3.077003,Drumming Partner,00:04
0.08036581,1.294991,3.077003,Drumming Partner,00:04
0.07294726,1.288815,3.077003,Drumming Partner,00:04
0.03543885,1.296722,3.077003,Drumming Partner,00:04
0.05983412,1.311827,3.077003,Drumming Partner,00:04
0.03341293,1.314728,3.077003,Drumming Partner,00:04
0.03193981,1.310251,3.077003,Drumming Partner,00:04
0.03387392,1.263663,3.077003,Drumming Partner,00:04
0.03955097,1.155776,3.077003,Drumming Partner,00:04
0.01328398,1.227535,3.077003,Drumming Partner,00:04
0.002570152,1.281946,3.077003,Drumming Partner,00:04
0.01308186,1.265618,3.077003,Drumming Partner,00:04
0.01423416,1.281921,3.077003,Drumming Partner,00:04
0.0492587,1.28304,3.077003,Drumming Partner,00:04
0.03985862,1.256829,3.077003,Drumming Partner,00:04
0.04887821,1.265808,3.077003,Drumming Partner,00:04
0.04958467,1.260867,3.077003,Drumming Partner,00:04
0.06191616,1.269445,3.077003,Drumming Partner,00:04
0.071089,1.2633,3.077003,Drumming Partner,00:04
0.07019524,1.254745,3.077003,Drumming Partner,00:04
0.07674287,1.241068,3.077003,Drumming Partner,00:04
0.06284377,1.243641,3.077003,Drumming Partner,00:04
0.05740941,1.245761,3.077003,Drumming Partner,00:04
0.04849073,1.268721,3.077003,Drumming Partner,00:04
0.03659944,1.260879,3.077003,Drumming Partner,00:04
0.02273057,1.238239,3.077003,Drumming Partner,00:04
0.01562285,1.233312,3.077003,Drumming Partner,00:04
0.007250309,1.216194,3.077003,Drumming Partner,00:04
0.007727474,1.241294,3.077003,Drumming Partner,00:04
-0.0528261,1.249201,3.077003,Drumming Partner,00:04
-0.437982,1.310829,5,Environment,00:04
-1.177159,1.273694,5,Environment,00:04
-1.616642,1.296882,5,Environment,00:04
-2.033998,1.276474,5,Environment,00:04
-2.471864,1.238297,5,Environment,00:05
-2.348343,1.166182,5,Environment,00:05
-2.431773,1.243789,5,Environment,00:05
-2.552081,1.185764,5,Environment,00:05
-2.584278,1.198652,5,Environment,00:05
-2.581225,1.277362,5,Environment,00:05
-2.59957,1.260459,5,Environment,00:05
-2.631775,1.252728,5,Environment,00:05
-2.665302,1.309417,5,Environment,00:05
-2.61691,1.227902,5,Environment,00:05
-2.666586,1.327776,5,Environment,00:05
-2.705541,1.302172,5,Environment,00:05
-2.59303,1.296736,5,Environment,00:05
-2.641135,1.29798,5,Environment,00:05
-2.631716,1.300665,5,Environment,00:05
-2.580328,1.236424,5,Environment,00:05
-2.53574,1.227523,5,Environment,00:05
-2.541496,1.241585,5,Environment,00:05
-2.760975,1.32254,5,Environment,00:05
-3.476643,1.557674,5,Environment,00:05
-3.813033,1.540871,5,Environment,00:05
-3.957448,1.61901,5,Environment,00:05
-3.773203,1.596719,5,Environment,00:05
-3.765991,1.622174,5,Environment,00:05
-3.718383,1.625325,5,Environment,00:05
-3.692385,1.625237,5,Environment,00:05
-3.600256,1.589035,5,Environment,00:05
-3.630142,1.554737,5,Environment,00:05
-3.619138,1.528637,5,Environment,00:05
-3.643548,1.537063,5,Environment,00:05
-3.659701,1.542875,5,Environment,00:05
-3.612596,1.560732,5,Environment,00:05
-3.616041,1.580234,5,Environment,00:05
-3.588088,1.576066,5,Environment,00:05
-3.633336,1.563043,5,Environment,00:05
-3.618018,1.554442,5,Environment,00:05
-3.629576,1.526985,5,Environment,00:05
-3.691501,1.515078,5,Environment,00:05
-3.647868,1.511472,5,Environment,00:05
-3.682573,1.455595,5,Environment,00:05
-3.731752,1.472399,5,Environment,00:05
-3.715536,1.52657,5,Environment,00:05
-3.746453,1.517862,5,Environment,00:05
-3.731391,1.524864,5,Environment,00:05
-3.782972,1.510157,5,Environment,00:05
-3.774842,1.556022,5,Environment,00:05
-3.774557,1.54086,5,Environment,00:05
-3.803706,1.555441,5,Environment,00:05
-3.800847,1.759642,5,Environment,00:05
-3.811797,2.13764,5,Environment,00:05
-3.834374,2.527886,5,Environment,00:05
-3.718073,2.773803,5,Environment,00:05
-3.717178,2.835481,5,Environment,00:05
-3.742187,2.868226,5,Environment,00:05
-3.673393,2.777533,5,Environment,00:05
-3.630588,2.797836,5,Environment,00:05
-3.630376,2.800526,5,Environment,00:05
-3.586391,2.754882,5,Environment,00:05
-3.580919,2.717488,5,Environment,00:05
-3.56995,2.719042,5,Environment,00:05
-3.573295,2.748771,5,Environment,00:05
-3.547371,2.747754,5,Environment,00:05
-3.485107,2.735394,5,Environment,00:05
-3.459088,2.74717,5,Environment,00:05
-3.525874,2.694353,5,Environment,00:05
-3.506332,2.72899,5,Environment,00:05
-3.514727,2.667463,5,Environment,00:05
-3.485135,2.732071,5,Environment,00:05
-3.439224,2.735002,5,Environment,00:05
-3.495817,2.735264,5,Environment,00:05
-3.402265,2.715783,5,Environment,00:05
-3.450288,2.801935,5,Environment,00:05
-3.413506,2.747667,5,Environment,00:05
-2.948678,1.011111,5,Environment,00:05
-3.672945,3.591064,5,Environment,00:05
-3.714578,3.584404,5,Environment,00:05
-3.864386,3.626994,5,Environment,00:05
-3.836176,3.565018,5,Environment,00:05
-3.985085,3.57121,5,Environment,00:05
-4.281517,3.723341,5,Environment,00:06
-5,3.704431,4.102805,Environment,00:06
-5,3.51151,3.221043,Environment,00:06
-5,3.42165,2.219512,Environment,00:06
-5,3.402336,1.878861,Environment,00:06
-5,3.400171,1.44704,Environment,00:06
-5,3.393335,1.385888,Environment,00:06
-5,3.337537,1.344024,Environment,00:06
-5,3.364481,1.360895,Environment,00:06
-5,3.345249,1.35119,Environment,00:06
-5,3.41213,1.530212,Environment,00:06
-5,3.395452,1.531861,Environment,00:06
-5,3.312627,1.390886,Environment,00:06
-5,3.298163,1.551918,Environment,00:06
-5,3.236116,1.525311,Environment,00:06
-5,3.245753,1.575784,Environment,00:06
-5,3.276658,1.600946,Environment,00:06
-5,3.31312,1.639171,Environment,00:06
-5,3.26187,1.741219,Environment,00:06
-5,3.24885,1.768596,Environment,00:06
-5,3.195803,1.801928,Environment,00:06
-5,3.214754,1.868407,Environment,00:06
-5,3.2196,1.890433,Environment,00:06
-5,3.197068,1.907889,Environment,00:06
-5,3.163428,1.92952,Environment,00:06
-5,3.267817,2.038965,Environment,00:06
-5,3.202577,2.022043,Environment,00:06
-5,3.29833,2.085375,Environment,00:06
-5,3.327357,2.083501,Environment,00:06
-5,3.323408,2.074407,Environment,00:06
-5,3.387546,2.086103,Environment,00:06
-5,3.345167,2.059304,Environment,00:06
-5,3.307118,2.042951,Environment,00:06
-5,3.346977,2.056265,Environment,00:06
-5,3.411182,2.045454,Environment,00:06
-5,3.373622,2.058389,Environment,00:06
-5,3.333985,2.019496,Environment,00:06
-5,3.362962,1.995033,Environment,00:06
