x,y,z,focusItem,time
-0.1164151,0.8551041,2.605238,Drumming Partner,00:07
-0.247326,0.8163188,2.605238,Drumming Partner,00:07
-0.1282214,0.8645087,2.605238,Drumming Partner,00:07
-0.1590794,0.8589051,2.605238,Drumming Partner,00:07
-0.1505896,0.8740388,2.605238,Drumming Partner,00:07
-0.1727149,0.8547069,2.605238,Drumming Partner,00:07
-1.810647,-8.19684E-17,3.691528,Ground,00:07
-1.736976,-7.913593E-17,3.563965,Ground,00:07
-1.794124,-8.186847E-17,3.687028,Ground,00:07
-1.770736,-8.000294E-17,3.603012,Ground,00:07
-2.954554,1.048787,5,Environment,00:07
-1.908551,-8.303091E-17,3.73938,Ground,00:07
-2.274248,-8.819243E-17,3.971834,Ground,00:07
-2.770488,-9.347605E-17,4.209787,Ground,00:07
-2.786211,-9.625264E-17,4.334834,Ground,00:07
-2.720451,-9.495889E-17,4.276568,Ground,00:07
-2.621414,-9.518303E-17,4.286663,Ground,00:07
-2.564788,-9.534745E-17,4.294067,Ground,00:07
-2.569712,-9.5841E-17,4.316295,Ground,00:07
-2.512361,-9.693996E-17,4.365788,Ground,00:07
-2.572217,-9.716354E-17,4.375856,Ground,00:07
-2.579695,-9.393979E-17,4.230672,Ground,00:07
-2.579515,-9.433517E-17,4.248478,Ground,00:07
-1.837668,-7.721824E-17,3.4776,Ground,00:07
-2.404961,0,4.765383,,00:07
-2.230432,-8.310799E-17,3.742851,Ground,00:07
-2.475362,-9.16132E-17,4.125891,Ground,00:07
-3.069479,1.237373,5,Environment,00:07
-2.997779,-9.456589E-17,4.258869,Ground,00:07
-2.209095,-9.549034E-17,4.300503,Ground,00:07
-2.207731,-9.437703E-17,4.250363,Ground,00:07
-2.481191,-9.778478E-17,4.403835,Ground,00:07
-3.163518,0.9486371,5,Environment,00:07
-2.561757,-9.75267E-17,4.392212,Ground,00:07
-3.21466,0.3310791,5,Environment,00:07
-2.825045,0.4102538,5,Environment,00:08
-3.372221,0.4274892,5,Environment,00:08
-1.991927,-7.827171E-17,3.525045,Ground,00:08
-2.784688,0.4744592,5,Environment,00:08
-3.269934,1.78388,5,Environment,00:08
-3.218867,1.154114,5,Environment,00:08
-2.791358,0.3191667,5,Environment,00:08
-2.805277,0.3889295,5,Environment,00:08
-2.785111,0.3405106,5,Environment,00:08
-2.822981,0.3354565,5,Environment,00:08
-3.125151,1.125456,5,Environment,00:08
-3.19059,0.32906,5,Environment,00:08
-3.315435,0.3378899,5,Environment,00:08
-2.899384,0.2702627,5,Environment,00:08
-3.804041,0.1778374,5,Environment,00:08
-3.362697,1.87175,5,Environment,00:08
-3.346952,1.799237,5,Environment,00:08
-3.373096,1.822118,5,Environment,00:08
-3.365036,1.790131,5,Environment,00:08
-3.39218,1.784403,5,Environment,00:08
-3.388002,1.766549,5,Environment,00:08
-3.41209,1.840182,5,Environment,00:08
-3.462368,1.767191,5,Environment,00:08
-3.382533,1.831502,5,Environment,00:08
-3.346783,1.872722,5,Environment,00:08
-3.319757,1.886829,5,Environment,00:08
-3.351396,1.799497,5,Environment,00:08
-3.361874,1.822646,5,Environment,00:08
-3.416888,1.860732,5,Environment,00:08
-3.368606,1.83175,5,Environment,00:08
-3.385099,1.860503,5,Environment,00:08
-3.389816,1.861326,5,Environment,00:08
-3.324085,1.816139,5,Environment,00:08
-3.350502,1.818514,5,Environment,00:08
-3.348721,1.806311,5,Environment,00:08
-3.36617,1.770479,5,Environment,00:08
-3.35969,1.769705,5,Environment,00:08
-3.356238,1.77906,5,Environment,00:08
-3.377825,1.799106,5,Environment,00:08
-3.408075,1.79123,5,Environment,00:08
-3.468977,1.836856,5,Environment,00:08
-3.439204,1.850245,5,Environment,00:08
-3.460339,1.865698,5,Environment,00:08
-3.510498,1.850912,5,Environment,00:08
-3.456197,1.775939,5,Environment,00:08
-3.459728,1.795231,5,Environment,00:08
-3.452609,1.786518,5,Environment,00:08
-3.462403,1.798527,5,Environment,00:08
-3.448106,1.772664,5,Environment,00:08
-3.396287,1.795194,5,Environment,00:08
-3.354265,1.805181,5,Environment,00:08
-3.334434,1.826707,5,Environment,00:08
-3.292482,1.830525,5,Environment,00:08
-3.242274,1.640587,5,Environment,00:08
-3.554199,1.372267,5,Environment,00:08
-3.55747,1.380551,5,Environment,00:08
-3.536075,1.323055,5,Environment,00:08
-3.53606,1.356258,5,Environment,00:08
-3.540732,1.374811,5,Environment,00:08
-3.531145,1.371797,5,Environment,00:08
-3.583701,1.379848,5,Environment,00:08
-3.625966,1.356378,5,Environment,00:08
-3.527009,1.347844,5,Environment,00:08
-3.544165,1.386884,5,Environment,00:08
-3.486626,1.476983,5,Environment,00:08
-3.497864,1.492278,5,Environment,00:08
-3.453913,1.498129,5,Environment,00:08
-3.477513,1.451387,5,Environment,00:09
-3.477501,1.475098,5,Environment,00:09
-3.482325,1.435931,5,Environment,00:09
-3.452796,1.422277,5,Environment,00:09
-3.422701,1.397116,5,Environment,00:09
-3.417511,1.383527,5,Environment,00:09
-3.401078,1.378046,5,Environment,00:09
-3.379734,1.340615,5,Environment,00:09
-3.396352,1.323173,5,Environment,00:09
-3.374826,1.324438,5,Environment,00:09
-3.355556,1.31812,5,Environment,00:09
-3.334922,1.360382,5,Environment,00:09
-3.321096,1.333888,5,Environment,00:09
-3.133752,1.325965,5,Environment,00:09
-2.835715,1.311508,5,Environment,00:09
-2.52289,1.311054,5,Environment,00:09
-2.476979,1.2865,5,Environment,00:09
-2.470884,1.263126,5,Environment,00:09
-2.402972,1.310779,5,Environment,00:09
-2.421173,1.396787,5,Environment,00:09
-2.387024,1.355561,5,Environment,00:09
-2.45899,1.361479,5,Environment,00:09
-2.43751,1.334983,5,Environment,00:09
-2.499308,1.3458,5,Environment,00:09
-2.512783,1.307378,5,Environment,00:09
-2.505609,1.297923,5,Environment,00:09
-2.517708,1.284871,5,Environment,00:09
-2.572703,1.325431,5,Environment,00:09
-2.556039,1.328676,5,Environment,00:09
-2.576471,1.333619,5,Environment,00:09
-2.601137,1.305038,5,Environment,00:09
-2.654054,1.279636,5,Environment,00:09
-2.648916,1.324448,5,Environment,00:09
-2.698215,1.275208,5,Environment,00:09
-2.725484,1.26615,5,Environment,00:09
-2.736144,1.252818,5,Environment,00:09
-2.776916,1.235995,5,Environment,00:09
-2.828553,1.271291,5,Environment,00:09
-2.804422,1.295061,5,Environment,00:09
-3.056927,1.213202,5,Environment,00:09
-3.08431,1.187347,5,Environment,00:09
-3.047425,1.188626,5,Environment,00:09
-2.987278,1.203849,5,Environment,00:09
-3.024905,1.163358,5,Environment,00:09
-2.99717,1.200179,5,Environment,00:09
-2.955958,1.16039,5,Environment,00:09
-2.934409,1.178251,5,Environment,00:09
-2.932391,1.184501,5,Environment,00:09
-2.90921,1.19267,5,Environment,00:09
-2.889817,1.144184,5,Environment,00:09
-2.832035,1.186617,5,Environment,00:09
-2.81271,1.147723,5,Environment,00:09
-2.784763,1.209323,5,Environment,00:09
-2.76284,1.169547,5,Environment,00:09
-2.800068,1.150402,5,Environment,00:09
-2.798633,1.150993,5,Environment,00:09
-2.774723,1.135199,5,Environment,00:09
-2.763076,1.171409,5,Environment,00:09
-2.697425,1.163187,5,Environment,00:09
-2.671036,1.143789,5,Environment,00:09
-2.26026,1.205397,5,Environment,00:09
-1.789053,1.235422,5,Environment,00:09
-1.369132,1.029887,5,Environment,00:09
3.876164,1.5545,5,Environment,00:10
4.106624,1.573302,5,Environment,00:10
3.86968,1.514373,5,Environment,00:10
3.779875,1.507687,5,Environment,00:10
3.776948,1.505653,5,Environment,00:10
3.72672,1.518099,5,Environment,00:10
3.392988,1.458272,5,Environment,00:10
3.323071,1.466606,5,Environment,00:10
3.345182,1.44684,5,Environment,00:10
3.346965,1.430414,5,Environment,00:10
3.210512,1.451614,5,Environment,00:10
3.194233,1.458036,5,Environment,00:10
3.172925,1.429487,5,Environment,00:10
3.16556,1.435514,5,Environment,00:10
3.203712,1.405504,5,Environment,00:10
3.180833,1.427009,5,Environment,00:10
3.311896,1.442884,5,Environment,00:10
4.217064,1.555638,5,Environment,00:10
4.75178,1.675206,5,Environment,00:10
4.855011,1.666691,5,Environment,00:10
4.781064,1.551511,5,Environment,00:10
4.850285,1.577592,5,Environment,00:10
4.87283,1.588682,5,Environment,00:10
4.836539,1.551044,5,Environment,00:10
4.867774,1.532246,5,Environment,00:10
4.858824,1.504942,5,Environment,00:10
4.815353,1.564426,5,Environment,00:10
4.892229,1.635276,5,Environment,00:10
4.911821,1.672119,5,Environment,00:10
4.89174,1.613491,5,Environment,00:10
4.878243,1.662462,5,Environment,00:10
4.925007,1.694216,5,Environment,00:10
4.926833,1.627587,5,Environment,00:10
4.973258,1.668006,5,Environment,00:10
4.955367,1.639916,5,Environment,00:10
4.869201,1.610385,5,Environment,00:10
4.881904,1.598146,5,Environment,00:10
4.913369,1.611772,5,Environment,00:10
4.919485,1.665915,5,Environment,00:10
4.913052,1.722613,5,Environment,00:10
4.864711,1.751776,5,Environment,00:10
4.900397,1.743888,5,Environment,00:10
4.904527,1.824094,5,Environment,00:10
4.882568,1.892103,5,Environment,00:10
4.954127,1.854152,5,Environment,00:10
4.940504,1.927972,5,Environment,00:10
4.926416,1.927354,5,Environment,00:10
4.836347,1.803555,5,Environment,00:10
4.913301,1.855049,5,Environment,00:10
4.973679,1.873527,5,Environment,00:10
4.877034,1.808103,5,Environment,00:10
4.822633,1.773861,5,Environment,00:10
