x,y,z,focusItem,time
-0.0331762,0.7899594,2.605238,Drumming Partner,00:03.174
-0.04244614,0.7632056,2.605238,Drumming Partner,00:03.194
-0.02218425,0.7003776,2.605238,Drumming Partner,00:03.218
0.07925221,0.7094955,2.605238,Drumming Partner,00:03.240
0.07094013,1.343042,3.077003,Drumming Partner,00:03.262
0.02955783,1.346625,3.077003,Drumming Partner,00:03.284
-0.08628143,1.343835,3.077003,Drumming Partner,00:03.307
-0.0538635,1.31774,3.077003,Drumming Partner,00:03.329
-0.0009218007,1.31645,3.077003,Drumming Partner,00:03.353
0.08533555,1.306704,3.077003,Drumming Partner,00:03.373
0.0615075,1.312021,3.077003,Drumming Partner,00:03.395
0.04655577,1.290621,3.077003,Drumming Partner,00:03.417
0.03868607,1.311786,3.077003,Drumming Partner,00:03.440
0.02623437,1.337784,3.077003,Drumming Partner,00:03.462
0.04129517,1.295248,3.077003,Drumming Partner,00:03.486
0.08525129,1.283343,3.077003,Drumming Partner,00:03.509
-2.387,1.208884,3.710875,Wall,00:03.733
-2.387,1.144998,3.564206,Wall,00:03.755
-2.387,1.194446,3.530598,Wall,00:03.778
-2.387,1.198153,3.594746,Wall,00:03.800
-2.387,1.245237,3.520402,Wall,00:03.822
-1.545705,1.218871,2.33152,Lamp/Side Table,00:03.843
-1.545705,1.150466,1.639136,Lamp/Side Table,00:03.866
-1.545705,1.170554,1.383104,Lamp/Side Table,00:03.889
-1.545705,1.140018,1.399814,Lamp/Side Table,00:03.909
-1.545705,1.198907,1.423374,Lamp/Side Table,00:03.932
-1.545705,1.20639,1.415782,Lamp/Side Table,00:03.955
-1.545705,1.170522,1.419037,Lamp/Side Table,00:03.977
-1.545705,1.176457,1.458592,Lamp/Side Table,00:03.998
-1.545705,1.1789,1.480672,Lamp/Side Table,00:04.021
-1.545705,1.180372,1.496976,Lamp/Side Table,00:04.042
-1.545705,1.148022,1.511862,Lamp/Side Table,00:04.066
-1.545705,1.184301,1.532581,Lamp/Side Table,00:04.087
-1.545705,1.173601,1.582223,Lamp/Side Table,00:04.109
-1.545705,1.184467,1.625989,Lamp/Side Table,00:04.131
-1.545705,1.188686,1.63976,Lamp/Side Table,00:04.153
-1.545705,1.191877,1.683492,Lamp/Side Table,00:04.176
-1.545705,1.177946,1.711921,Lamp/Side Table,00:04.198
-1.545705,1.169243,1.728764,Lamp/Side Table,00:04.220
-1.545705,1.163254,1.702936,Lamp/Side Table,00:04.242
-1.545705,1.183215,1.684432,Lamp/Side Table,00:04.264
-1.545705,1.167113,1.656765,Lamp/Side Table,00:04.287
-1.545705,1.224797,1.591955,Lamp/Side Table,00:04.309
-1.545705,1.250187,1.609406,Lamp/Side Table,00:04.331
-1.545705,1.319334,1.609227,Lamp/Side Table,00:04.353
-1.545705,1.364032,1.591067,Lamp/Side Table,00:04.376
-1.545705,1.369334,1.626032,Lamp/Side Table,00:04.398
-1.545705,1.343919,1.600231,Lamp/Side Table,00:04.421
-1.545705,1.356045,1.676261,Lamp/Side Table,00:04.443
-1.545705,1.349887,1.66794,Lamp/Side Table,00:04.465
-1.545705,1.338982,1.670975,Lamp/Side Table,00:04.487
-1.545705,1.335743,1.656666,Lamp/Side Table,00:04.510
-1.545705,1.3499,1.639926,Lamp/Side Table,00:04.531
