x,y,z,focusItem,time
1.502605,0.01109324,-0.08173358,Floor,00:03.539
0.3540517,0.8959683,-1.325906,Poster,00:04.289
0.3363456,0.9931258,-1.325906,Poster,00:04.312
0.3526076,0.9779726,-1.325906,Poster,00:04.317
0.3532564,0.9739642,-1.325906,Poster,00:04.323
0.3507121,0.9818102,-1.325906,Poster,00:04.329
0.3486034,0.9657155,-1.325906,Poster,00:04.335
0.3477544,0.9494881,-1.325906,Poster,00:04.345
0.3484802,0.9444006,-1.325906,Poster,00:04.357
0.3374203,0.9487185,-1.325906,Poster,00:04.368
0.3127235,0.9400251,-1.325906,Poster,00:04.377
0.3004874,0.9412975,-1.325906,Poster,00:04.393
0.2942675,0.9353823,-1.325906,Poster,00:04.401
0.297304,0.9334717,-1.325906,Poster,00:04.412
0.2968464,0.9038672,-1.325906,Poster,00:04.424
0.2992699,0.7963363,-1.325906,Poster,00:04.434
0.3010877,0.7357956,-1.325906,Poster,00:04.445
0.2550891,0.7733273,-1.325906,Poster,00:04.811
0.2116993,0.8664698,-1.325906,Poster,00:04.823
0.157929,1.019655,-1.325906,Poster,00:04.833
0.1343473,1.0878,-1.325906,Poster,00:04.845
0.132759,1.117094,-1.325906,Poster,00:04.856
0.1402285,1.101966,-1.325906,Poster,00:04.867
0.1338963,1.110719,-1.325906,Poster,00:04.878
0.1306166,1.11503,-1.325906,Poster,00:04.889
0.1696239,1.1135,-1.325906,Poster,00:04.899
0.1719957,1.108249,-1.325906,Poster,00:04.912
0.1706364,1.119027,-1.325906,Poster,00:04.923
0.1814561,1.098339,-1.325906,Poster,00:04.933
0.1720579,1.105905,-1.325906,Poster,00:04.944
0.1735289,1.11702,-1.325906,Poster,00:04.956
0.1801742,1.105682,-1.325906,Poster,00:04.967
0.1773693,1.111412,-1.325906,Poster,00:04.977
0.1821933,1.127407,-1.325906,Poster,00:04.990
0.2050163,1.274892,-1.325906,Poster,00:05.005
0.2115855,1.334806,-1.325906,Poster,00:05.017
0.179305,1.410706,-1.325906,Poster,00:05.028
0.1855077,1.427261,-1.325906,Poster,00:05.039
0.1857159,1.407687,-1.325906,Poster,00:05.050
0.2154691,1.415621,-1.325906,Poster,00:05.062
0.2220221,1.415374,-1.325906,Poster,00:05.073
0.2265656,1.411581,-1.325906,Poster,00:05.083
0.22881,1.420091,-1.325906,Poster,00:05.095
0.2293326,1.430112,-1.325906,Poster,00:05.106
0.2289139,1.414017,-1.325906,Poster,00:05.117
0.222544,1.423471,-1.325906,Poster,00:05.128
0.2294582,1.427689,-1.325906,Poster,00:05.139
0.2395392,1.430911,-1.325906,Poster,00:05.151
0.2374724,1.421488,-1.325906,Poster,00:05.161
0.2307247,1.471551,-1.325906,Poster,00:05.172
0.2060374,1.589137,-1.325906,Poster,00:05.183
0.1998944,1.64734,-1.325906,Poster,00:05.194
0.1908371,1.685757,-1.325906,Poster,00:05.205
0.1975028,1.64804,-1.325906,Poster,00:05.217
0.2042213,1.665864,-1.325906,Poster,00:05.229
0.2006646,1.670906,-1.325906,Poster,00:05.239
0.1827255,1.649264,-1.325906,Poster,00:05.250
0.1764944,1.647209,-1.325906,Poster,00:05.261
0.1925371,1.644915,-1.325906,Poster,00:05.273
0.1972694,1.630591,-1.325906,Poster,00:05.283
0.1876675,1.620411,-1.325906,Poster,00:05.294
0.1951503,1.621606,-1.325906,Poster,00:05.305
0.1727135,1.623458,-1.325906,Poster,00:05.317
0.1507492,1.622942,-1.325906,Poster,00:05.328
0.1428869,1.618841,-1.325906,Poster,00:05.339
0.1444215,1.608858,-1.325906,Poster,00:05.350
0.1539126,1.604267,-1.325906,Poster,00:05.361
0.1727113,1.613193,-1.325906,Poster,00:05.372
0.1912296,1.619904,-1.325906,Poster,00:05.383
0.1888657,1.626368,-1.325906,Poster,00:05.395
0.17997,1.611342,-1.325906,Poster,00:05.405
0.1809743,1.609963,-1.325906,Poster,00:05.416
0.1837035,1.61465,-1.325906,Poster,00:05.429
0.184037,1.60881,-1.325906,Poster,00:05.439
